"ID","GOODS_TITLE","GOODS_PID","GOODS_PRICE","GOODS_IMG","GOODS_SALE","GOODS_URL"
"41","美宝莲陈伟霆定制 小灯管唇膏纵情耀绝色持久保湿滋润唇釉口红","557257278219","109.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/743750137/TB1w5a1iILJ8KJjy0FnXXcFDpXa_!!0-item_pic.jpg","8413人付款","https://detail.tmall.com/item.htm?id=557257278219"
"42","theSAEM得鲜唇膏持久保湿不脱色韩国防水豆沙姨妈色哑光口红正品","529490016681","69.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2820981703/TB1a03XiMDD8KJjy0FdXXcjvXXa_!!0-item_pic.jpg","38668人付款","https://detail.tmall.com/item.htm?id=529490016681"
"43","美宝莲雾感哑光唇膏 陈伟霆女皇色口红 吃土色MNU09 持久不易褪色","541236751066","109.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/743750137/TB1i2V_iS_I8KJjy0FoXXaFnVXa_!!0-item_pic.jpg","5017人付款","https://detail.tmall.com/item.htm?id=541236751066"
"44","【直营】Christian Dior 迪奥粉漾诱惑变色润唇膏 变色口红 3.5g","549903340968","239.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB2FCsocJLO8KJjSZPcXXaV0FXa_!!2549841410-0-sm.jpg","9841人付款","https://detail.tmall.com/item.htm?id=549903340968"
"45","Chanel/香奈儿炫亮魅力丝绒唇膏3.5g 口红 打造美唇43 42","43162747996","269.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1830887781/TB1lhw3h_nI8KJjSszbXXb4KFXa_!!0-item_pic.jpg","11785人付款","https://detail.tmall.com/item.htm?id=43162747996"
"46","欧莱雅口红纷泽琉光奢润唇釉 金管唇彩持久滋润保湿唇纹307枫叶色","41210754770","120.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/533497499/TB1QBb4ckfb_uJkSne1XXbE4XXa_!!0-item_pic.jpg","4387人付款","https://detail.tmall.com/item.htm?id=41210754770"
"47","MAC/魅可新色子弹头唇膏口红当季潮色酒红玫瑰风情秋冬色持久","558803677297","170.00","https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/3170729146/TB1HJgOilHH8KJjy0FbXXcqlpXa_!!0-item_pic.jpg","9698人付款","https://detail.tmall.com/item.htm?id=558803677297"
"48","卡姿兰口红持久保湿不脱色不沾杯非韩国防水学生颜控唇釉唇膏正品","35090351008","99.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1087734489/TB1FAJqigDD8KJjy0FdXXcjvXXa_!!0-item_pic.jpg","6097人付款","https://detail.tmall.com/item.htm?id=35090351008"
"49","【圣诞】兰蔻菁纯柔润丝缎唇膏滋润口红唇彩持久显色 132刘涛同款","537286782401","270.00","https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2360209412/TB1S_eRiBTH8KJjy0FiXXcRsXXa_!!0-item_pic.jpg","5343人付款","https://detail.tmall.com/item.htm?id=537286782401"
"50","【直营】YSL 圣罗兰 方管唇膏口红正品 3.8g 星星色52 1 13 17","552461663816","288.00","https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2549841410/TB10BLRcBTH8KJjy0FiXXcRsXXa_!!0-item_pic.jpg","1990人付款","https://detail.tmall.com/item.htm?id=552461663816"
